Delivery_Date,Delivery_ID,Delivery_Partner,Package_Type,Vehicle_Type,Delivery_Mode,Region,Weather_Condition,Distance_KM,Package_Weight_KG,Delivery_Time,Expected_Time,Delayed,Delivery_Status,Delivery_Rating,Delivery_Cost
01-10-2025,500800,delhivery,automobile parts,bike,same day,west,clear,297,47,10:25:00 AM,10:22:00 AM,no,delivered,3,1632.72
02-10-2025,500890,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.4,10:30:00 AM, 10:25:00 AM,no,delivered,5,640.17
03-10-2025,500980,shadowfax,groceries,truck,two day,east,rainy,273.5,26.9,10:30:00 AM,10:27:00 AM,no,delivered,4,1448.17
04-10-2025,501070,dhl,electronics,ev van,same day,east,cold,269.7,12.7,10:35:00 AM, 10:29:00 AM,no,delivered,3,1486.57
17-10-2025,501160,dhl,clothing,van,two day,north,foggy,256.7,37,10:40:00 AM,10:34:00 AM,no,delivered,4,1394.56
17-10-2025,501250,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.2,11:45:00 AM,12:00:00 PM,yes,delayed,3,391.45
19-10-2025,501340,delhivery,groceries,scooter,same day,central,clear,198.3,43.8,11:50:00 AM,11:41:00 AM,no,delivered,3,1222.87
17-10-2025,501430,xpressbees,fragile items,van,same day,north,cold,114.6,42.6,12:00:00 PM,12:00:00 AM,no,delivered,3,800.89
17-10-2025,501520,blue dart,clothing,van,same day,south,hot,142.4,14.1,12:15:00 PM,12:07:00 PM,no,delivered,5,854.18
17-10-2025,501610,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.3,12:30:00 PM,12:13:00 PM,no,delivered,5,423.34
17-10-2025,501700,fedex,groceries,scooter,same day,east,cold,293.2,22.1,12:45:00 PM,12:21:00 PM,no,delivered,4,1632.15
12-10-2025,501790,ecom express,electronics,truck,two day,east,cold,80.4,46.5,01:00:00 PM,12:47:00 PM,no,delivered,5,541.44
13-10-2025,501880,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.6,01:15:00 PM,12:45:00 PM,no,delivered,4,1350.18
14-10-2025,501970,xpressbees,cosmetics,bike,express,east,stormy,19,3.4,01:00:00 PM,11:00:00 PM,yes,failed,1,155.08
15-10-2025,502060,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.6,03:10:00 PM,03:10:00 PM,no,delivered,3,1263.27
16-10-2025,502150,amazon logistics,furniture,ev van,express,north,hot,239.3,11.7,03:25:00 PM,03:16:00 PM,yes,delayed,3,1281.51
17-10-2025,502240,fedex,documents,bike,standard,west,stormy,79,0.7,03:35:00 PM,03:10:00 PM,no,delivered,5,397.19
18-10-2025,502330,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.6,03:50:00 PM,03:40:00 PM,no,delivered,5,990.36
19-10-2025,502420,amazon logistics,documents,van,same day,north,rainy,90,33.7,04:00:00 PM, 03:30:00 PM,no,delivered,3,651.1
20-10-2025,502510,fedex,cosmetics,truck,express,north,rainy,64,6,04:10:00 PM,11:00:00 PM,yes,failed,2,388.09
21-10-2025,502600,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,04:30:00 PM, 04:19:00 PM,no,delivered,4,986.8
22-10-2025,502690,dhl,electronics,scooter,two day,west,stormy,217.9,14.1,05:05:00 PM, 04:55:00 PM,no,delivered,4,1131.74
17-10-2025,502780,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.9,05:20:00 PM, 05:10:00 PM,no,delivered,5,1293.05
17-10-2025,502870,ecom express,clothing,bike,standard,central,clear,251.7,34.9,05:20:00 PM, 05:18:00 PM,no,delivered,4,1363.2
19-10-2025,502960,amazon logistics,furniture,van,standard,east,foggy,214.9,5.7,05:25:00 PM, 05:16:00 PM,no,delivered,5,1091.51
17-10-2025,503050,shadowfax,documents,ev van,two day,north,stormy,115.4,0.7,05:30:00 PM, 05:25:00 PM,no,delivered,4,578.59
17-10-2025,503140,dhl,clothing,ev bike,express,east,foggy,293.8,41,06:00:00 PM, 05:40:00 PM,yes,delayed,3,1632.72
17-10-2025,503230,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.7,06:15:00 PM, 06:10:00 PM,no,delivered,3,1574.01
17-10-2025,503320,fedex,furniture,truck,express,south,hot,136.1,48.1,06:30:00 PM, 06:28:00 PM,no,delivered,5,874.8
30-10-2025,503410,dhl,furniture,bike,two day,east,rainy,291.4,6.1,06:45:00 PM, 06:10:00 PM,no,delivered,5,1475.36
31-10-2025,503500,fedex,furniture,bike,standard,south,hot,295,19.7,07:00:00 PM, 06:28:00 PM,no,delivered,5,1534.04
01-10-2025,503590,ekart,cosmetics,truck,same day,central,rainy,223.3,6.3,07:15:00 PM,11:00:00 PM,yes,failed,1,1235.37
02-10-2025,503680,delhivery,automobile parts,scooter,express,south,hot,242.5,46.7,07:30:00 PM,11:00:00 PM,yes,failed,1,1402.69
03-10-2025,503770,fedex,furniture,ev bike,two day,central,rainy,35.1,22.7,07:45:00 PM, 07:30:00 PM,no,delivered,5,243.66
04-10-2025,503860,amazon logistics,clothing,bike,express,central,stormy,81.8,45.5,08:00:00 PM, 07:40:00 PM,yes,delayed,2,595.53
05-10-2025,503950,delhivery,documents,bike,same day,east,clear,37.6,22.8,08:15:00 PM, 08:10:00 PM,no,delivered,4,356.43
06-10-2025,504040,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.7,08:30:00 PM, 08:28:00 PM,yes,delayed,2,298.16
07-10-2025,504130,amazon logistics,electronics,scooter,same day,central,hot,233.4,18,08:45:00 PM, 08:30:00 PM,no,delivered,5,1321
08-10-2025,504220,ekart,documents,bike,standard,east,rainy,62.2,48.6,09:00:00 PM, 08:28:00 PM,no,delivered,3,456.74
09-10-2025,504310,shadowfax,clothing,ev bike,standard,south,foggy,114,43.9,10:25:00 AM,10:22:00 AM,no,delivered,4,701.55
10-10-2025,504400,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.8,10:30:00 AM, 10:25:00 AM,no,delivered,5,834.87
11-10-2025,504490,xpressbees,groceries,ev van,express,south,rainy,21.4,16.6,10:30:00 AM,12:00:00 PM,yes,delayed,3,206.74
12-10-2025,504580,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.4,10:35:00 AM, 10:29:00 AM,no,delivered,5,1317.61
13-10-2025,504670,dhl,furniture,van,two day,east,rainy,253.9,7.1,10:40:00 AM,10:34:00 AM,no,delivered,3,1290.71
14-10-2025,504760,delhivery,furniture,ev bike,same day,north,stormy,6.7,8,11:45:00 AM, 11:08:00 AM,no,delivered,4,157.38
15-10-2025,504850,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,11:50:00 AM,11:41:00 AM,no,delivered,4,970.6
16-10-2025,504940,fedex,cosmetics,truck,standard,south,hot,180,35,12:00:00 PM,11:52:00 AM,no,delivered,3,1005.12
17-10-2025,505030,ecom express,documents,scooter,two day,north,rainy,187.9,15,12:15:00 PM,12:07:00 PM,no,delivered,4,984.38
